#Table1
u,g,r,i,z,class,z1,zerr
19.21201,17.92099,17.26299,16.86064,16.61449,GALAXY,0.1498134,7.676274E-06
17.2174,16.96105,17.01199,17.0434,17.03922,QSO,0.6902146,7.063824E-05
18.88466,16.9088,15.90332,15.44241,15.06116,GALAXY,0.08992746,1.517341E-05
19.38655,19.23849,19.03811,18.80595,18.54077,QSO,2.044135,0.0005110721
18.83618,17.63858,17.08175,16.74605,16.45769,GALAXY,0.08815357,8.853614E-06
19.5049,18.38984,17.74551,17.3586,17.11958,GALAXY,0.1787971,7.371056E-06
18.79703,18.3349,18.11291,18.08502,17.92624,QSO,0.8410988,8.303906E-05
19.05813,17.59806,16.82967,16.35711,16.05524,GALAXY,0.1034615,9.303561E-06
17.85862,16.08619,15.25132,14.83044,14.49571,GALAXY,0.0527515,1.512577E-05
19.59922,18.31711,17.66297,17.27599,16.9995,GALAXY,0.0600281,9.623172E-06
19.57933,19.30394,19.07522,19.09439,18.87995,QSO,0.8730843,0.0003426548
19.4809,19.17825,19.06594,18.8743,18.93705,QSO,1.821343,0.0006855716
19.32115,18.95483,18.90681,18.66081,18.69635,QSO,1.69077,0.0004168885
19.52328,18.17545,17.40278,17.02002,16.78795,GALAXY,0.1192132,1.599112E-05
18.49517,17.37047,16.93359,16.65924,16.47578,GALAXY,0.06007481,6.889468E-06
18.24624,16.53214,15.62874,15.16613,14.81449,GALAXY,0.06175972,1.390079E-05
19.09504,18.91408,18.86899,18.63969,18.61428,QSO,1.706388,0.0004581668
15.9522,14.16541,13.38103,12.97381,12.65926,GALAXY,0.01536215,7.072749E-06
18.49891,16.56099,15.59015,15.04267,14.60104,GALAXY,0.03210673,1.662399E-05
19.53237,17.64661,16.59679,16.07399,15.67989,GALAXY,0.05667758,1.796223E-05
19.54161,19.08647,19.26629,18.69432,19.24847,GALAXY,0.08990963,1.382541E-05
17.8152,15.6192,14.55762,14.00181,13.53691,GALAXY,0.03391345,1.222941E-05
18.81309,17.05436,16.20881,15.75726,15.42534,GALAXY,0.0386613,1.186932E-05
18.00816,16.02841,15.10079,14.64674,14.26406,GALAXY,0.03076948,1.046883E-05
18.90525,17.79468,17.28028,16.8442,16.69634,GALAXY,0.08290289,7.148361E-06
19.40812,19.19881,19.18294,18.99984,18.85971,QSO,0.7059504,0.0002252719
19.18453,17.21556,16.32858,15.91534,15.63348,GALAXY,0.08005713,1.550756E-05
19.5745,18.43212,17.73904,17.29885,17.04312,GALAXY,0.1662969,1.006194E-05
19.51546,17.99918,17.20651,16.82162,16.5549,GALAXY,0.04794689,2.584525E-05
19.13573,17.98948,17.31605,16.76779,16.6157,QSO,0.06767823,2.986429E-05
16.98859,15.11171,14.23763,13.81313,13.49779,GALAXY,0.04768289,8.919815E-06
19.38626,18.71316,18.47698,18.3396,18.29533,QSO,2.58663,0.0001372831
18.75592,16.7225,15.78651,15.32489,15.03316,GALAXY,0.06851919,1.086178E-05
18.25852,16.24557,15.33147,14.89805,14.52794,GALAXY,0.05002439,1.450905E-05
18.77682,16.45542,15.51445,15.02301,14.62833,GALAXY,0.04845009,1.320384E-05
19.15213,17.39846,16.42291,15.98043,15.60763,GALAXY,0.1205585,3.031163E-05
18.7049,16.77257,15.76192,15.2874,14.88134,GALAXY,0.07931966,2.100979E-05
18.71901,17.09495,16.29153,15.87937,15.54382,GALAXY,0.06799901,1.34962E-05
18.547,16.83173,15.97516,15.45639,15.09815,GALAXY,0.05588444,7.243165E-06
18.65118,18.33131,17.89614,17.48249,17.40113,QSO,0.1939922,2.311667E-05
18.80705,17.5861,17.01444,16.65789,16.43456,GALAXY,0.06643465,7.509988E-06
19.56384,17.90448,17.13158,16.71902,16.4969,GALAXY,0.09720057,1.558491E-05
17.93476,16.79607,16.31234,15.98771,15.81633,GALAXY,0.04894049,5.720787E-06
19.17275,17.49639,16.63302,16.18948,15.88091,GALAXY,0.08499666,2.120397E-05
19.31556,17.18657,16.11881,15.64519,15.27667,GALAXY,0.09211483,1.696739E-05
19.03627,18.73366,18.43638,18.42858,18.5163,QSO,1.158716,0.0003806498
17.70432,15.74613,14.86987,14.42458,14.06424,GALAXY,0.03573745,1.272922E-05
19.19909,18.05136,17.53311,17.16838,17.00486,GALAXY,0.0819125,8.31249E-06
18.36989,18.19669,18.19186,17.97708,17.98215,QSO,1.66337,0.0002306859
18.23674,17.1674,16.77341,16.43223,16.27622,GALAXY,0.09198865,5.167663E-06
18.75946,16.99348,15.99836,15.54109,15.15847,GALAXY,0.1078618,2.279559E-05
18.48121,17.17306,16.60615,16.24523,15.97338,GALAXY,0.04149128,6.782308E-06
18.49933,17.45055,16.78348,16.39055,16.12244,GALAXY,0.07382949,1.097859E-05
18.39154,17.27087,16.66435,16.22512,16.01185,GALAXY,0.07955942,4.501121E-06
19.23523,17.75166,16.97208,16.40565,16.02057,GALAXY,0.0816371,1.954552E-05
19.53828,18.14956,17.70727,17.46664,17.29341,GALAXY,0.03621051,1.179177E-05
18.37256,17.90171,17.83735,17.86016,17.81647,QSO,0.6946054,6.684683E-05
18.17275,16.4697,15.67946,15.26405,14.93756,GALAXY,0.04693835,1.202265E-05
18.61301,16.65338,15.66478,15.14315,14.71581,GALAXY,0.05232402,2.006745E-05
19.21815,17.81242,17.34581,17.06744,17.00272,GALAXY,0.08177622,1.083944E-05
19.11789,17.64462,17.06938,16.75955,16.42976,GALAXY,0.0444275,9.526629E-06
18.99895,17.56481,16.92798,16.55814,16.32808,GALAXY,0.07260109,1.150481E-05
18.49548,17.44221,17.03656,16.74932,16.59887,GALAXY,0.06487294,8.807368E-06
18.68603,18.57901,18.49511,18.27897,18.12975,QSO,1.908291,0.0002237
19.4203,18.12086,17.43472,17.05147,16.77538,GALAXY,0.0998861,1.621532E-05
18.55161,17.24689,16.72389,16.39755,16.1677,GALAXY,0.03483591,8.124772E-06
19.47914,17.56125,16.61432,16.16041,15.78998,GALAXY,0.09596035,2.030965E-05
18.58295,17.31265,16.69193,16.36101,16.15246,GALAXY,0.03223878,9.266595E-06
18.42193,16.74398,15.90926,15.47267,15.21088,GALAXY,0.03440355,7.065188E-06
18.48889,16.28364,15.1876,14.66421,14.26531,GALAXY,0.05815966,1.394402E-05
18.60898,17.60816,17.2405,16.9971,16.82734,GALAXY,0.04130572,6.740511E-06
17.08058,15.91255,15.41158,15.06349,14.8742,GALAXY,0.04151176,6.836222E-06
17.18404,15.77698,15.22489,14.94475,14.8071,GALAXY,0.02422201,1.910878E-05
19.47709,17.42628,16.43716,16.00016,15.68341,GALAXY,0.07618287,1.625272E-05
19.47845,17.5384,16.63186,16.20462,15.89515,GALAXY,0.0552006,1.286366E-05
19.07779,17.76863,17.13762,16.76979,16.56665,GALAXY,0.0906866,1.098844E-05
18.93402,18.05324,17.6659,17.39525,17.29552,GALAXY,0.1624734,7.492925E-06
19.19158,18.14074,17.58454,17.29587,17.13129,GALAXY,0.1080827,1.544217E-05
18.30287,16.41736,15.53175,15.09498,14.75106,GALAXY,0.04319088,1.040998E-05
18.91677,17.30941,16.49719,16.08644,15.7428,GALAXY,0.09749984,3.020746E-05
16.50097,14.52729,13.60312,13.1574,12.83801,GALAXY,0.03712545,1.220053E-05
17.00524,15.49824,14.77179,14.41235,14.12053,GALAXY,0.01676809,1.228796E-05
18.80624,17.2707,16.6254,16.22769,15.9732,GALAXY,0.04849049,9.076392E-06
19.31551,18.05811,17.63387,17.3471,17.24514,GALAXY,0.09135181,7.865227E-06
18.61833,18.22201,18.27608,18.1484,18.17784,QSO,0.6580797,0.000195417
18.93736,17.15106,16.21544,15.71556,15.30533,GALAXY,0.03408015,1.266988E-05
19.54649,17.49601,16.4758,16.0362,15.68646,GALAXY,0.1062148,1.762437E-05
19.05879,17.94408,17.38142,17.02732,16.83051,GALAXY,0.1093154,8.661256E-06
16.89599,15.90093,15.43148,15.19414,14.95921,GALAXY,0.01839347,8.496476E-06
18.74969,17.47721,16.88932,16.54642,16.32421,GALAXY,0.05071344,8.123372E-06
18.31292,16.89198,16.16844,15.81185,15.59804,GALAXY,0.04703688,3.150581E-05
19.37803,17.87407,16.93218,16.43826,16.0536,GALAXY,0.1183965,1.416732E-05
18.697,17.53219,17.03878,16.73801,16.49571,GALAXY,0.06825416,9.265219E-06
18.75693,18.63093,18.3523,18.12835,18.26037,QSO,0.2374644,2.184031E-05
19.27516,17.29434,16.35766,15.91785,15.5578,GALAXY,0.05914997,2.004798E-05
19.55367,17.37576,16.08041,15.58627,15.24239,GALAXY,0.1856812,3.25113E-05
19.55126,17.94319,17.16892,16.77957,16.4405,GALAXY,0.06371531,1.864515E-05
18.35483,17.27723,16.80971,16.45989,16.31145,GALAXY,0.1118915,6.291258E-06
18.9695,17.18425,16.37719,15.99198,15.70059,GALAXY,0.03594406,1.699495E-05
19.20933,17.94478,17.26039,16.82386,16.45069,GALAXY,0.03584642,7.362439E-06
18.36857,17.09649,16.48795,16.15445,15.91858,GALAXY,0.1031627,1.355949E-05
18.90171,17.62965,17.03673,16.71927,16.48949,GALAXY,0.03438249,7.886559E-06
18.64507,17.16844,16.34188,15.88491,15.53617,GALAXY,0.09146757,1.333336E-05
18.14207,16.89408,16.32808,15.98998,15.73931,GALAXY,0.03398353,8.518796E-06
19.26462,17.53384,16.76941,16.38232,16.12045,GALAXY,0.03372435,1.258581E-05
18.48632,17.0727,16.3957,16.00318,15.73746,GALAXY,0.08063103,1.035624E-05
17.4006,16.28152,15.84907,15.60405,15.40086,GALAXY,0.03276557,7.258082E-06
18.75492,18.43636,17.98674,17.76829,17.65299,QSO,1.407191,0.0001799259
17.72553,16.24056,15.60962,15.24931,14.99673,GALAXY,0.05219653,1.991444E-05
19.5193,17.77625,16.88118,16.41246,16.04214,GALAXY,0.08560568,1.26513E-05
18.97001,18.41749,18.18639,18.14095,17.99134,QSO,0.8699275,8.227913E-05
19.37587,18.18307,17.27441,16.79909,16.49034,GALAXY,0.1836592,2.765305E-05
19.11156,17.52936,16.71915,16.2628,15.86935,GALAXY,0.05020094,7.542399E-06
19.47356,17.46851,16.4664,16.04495,15.74999,GALAXY,0.09274167,2.131153E-05
19.21708,18.0418,17.44215,17.0628,16.82634,GALAXY,0.07563652,7.747425E-06
18.8722,17.50456,16.75185,16.29573,16.00568,GALAXY,0.08589312,7.572882E-06
19.46722,17.6273,16.69606,16.21277,15.8346,GALAXY,0.03352514,1.102462E-05
18.96214,17.42689,16.7303,16.33706,16.04386,GALAXY,0.05364205,1.049917E-05
18.20286,16.8171,16.09555,15.6963,15.35078,GALAXY,0.03529334,8.886928E-06
19.25747,18.03815,17.47417,17.13161,16.879,GALAXY,0.0441112,7.077756E-06
18.32989,17.32141,17.16089,17.03371,16.84825,GALAXY,0.03413348,4.801502E-06
19.48833,17.77457,16.72974,16.23551,15.89548,GALAXY,0.1552329,2.181494E-05
